등급	점수	키워드	질문 제목	질문 내용(요약)	링크	채택여부	답변수	품질 사유	답변 템플릿
B	6	사망 후 해야할 일	재개발 후 세입자 사망 시 보상금 수령 방법은?		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60215&docId=492649336&qb=7IKs66edIO2bhCDtlbTslbztlaAg7J28&enc=utf8	Y	0	관련 키워드 포함, 답변 적음, 행동 질문	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
B	6	사망 후 해야할 일	아버지 사망 후 상속 절차 관련 질문드립니다		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60203&docId=492309482&qb=7IKs66edIO2bhCDtlbTslbztlaAg7J28&enc=utf8	Y	0	관련 키워드 포함, 답변 적음, 행동 질문	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
B	6	사망 후 해야할 일	형 사망 후 상속 절차가 궁금합니다		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60220&docId=492500975&qb=7IKs66edIO2bhCDtlbTslbztlaAg7J28&enc=utf8	Y	0	관련 키워드 포함, 답변 적음, 행동 질문	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
B	6	사망신고 방법	전셋집 집주인 사망 시 임차인의 대처 방법		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60215&docId=492275796&qb=7IKs66ed7Iug6rOgIOuwqeuylQ==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음, 행동 질문	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
B	6	사망신고 방법	[사망신고] 에 대하여 먼저 무엇부터 해야 할까요?		https://kin.naver.com/qna/detail.naver?d1id=4&dirId=4010302&docId=491425757&qb=7IKs66ed7Iug6rOgIOuwqeuylQ==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음, 행동 질문	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
B	6	상속포기 방법	미성년자 자녀 이혼한 부모 상속포기하는 방법		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60204&docId=469835698&qb=7IOB7IaN7Y+s6riwIOuwqeuylQ==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음, 행동 질문	상속포기는 상속개시 있음을 안 날부터 3개월 이내에 가정법원에 신청해야 합니다.\n\n기한이 지나면 단순승인(모든 빚 포함 상속)으로 간주되니 주의하세요.\n\n필요 서류: 심판청구서, 사망진단서, 가족관계증명서, 기본증명서, 주민등록등본\n\n상속포기 vs 한정승인 비교와 절차 안내: https://sahu.kr/guides/inheritance-renounce
B	6	상속포기 방법	전자소송으로 상속포기결정문 제출 방법 문의		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60221&docId=492614038&qb=7IOB7IaN7Y+s6riwIOuwqeuylQ==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음, 행동 질문	상속포기는 상속개시 있음을 안 날부터 3개월 이내에 가정법원에 신청해야 합니다.\n\n기한이 지나면 단순승인(모든 빚 포함 상속)으로 간주되니 주의하세요.\n\n필요 서류: 심판청구서, 사망진단서, 가족관계증명서, 기본증명서, 주민등록등본\n\n상속포기 vs 한정승인 비교와 절차 안내: https://sahu.kr/guides/inheritance-renounce
B	6	상속포기 기한	상속포기, 특별한정승인 둘중 어떤 것으로 변호사를 수임 해야할까요?		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60220&docId=492621582&qb=7IOB7IaN7Y+s6riwIOq4sOqwhA==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음, 행동 질문	상속포기는 상속개시 있음을 안 날부터 3개월 이내에 가정법원에 신청해야 합니다.\n\n기한이 지나면 단순승인(모든 빚 포함 상속)으로 간주되니 주의하세요.\n\n필요 서류: 심판청구서, 사망진단서, 가족관계증명서, 기본증명서, 주민등록등본\n\n상속포기 vs 한정승인 비교와 절차 안내: https://sahu.kr/guides/inheritance-renounce
B	6	상속포기 기한	상속포기에 필요한 서류 궁금해요.		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60220&docId=492456493&qb=7IOB7IaN7Y+s6riwIOq4sOqwhA==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음, 행동 질문	상속포기는 상속개시 있음을 안 날부터 3개월 이내에 가정법원에 신청해야 합니다.\n\n기한이 지나면 단순승인(모든 빚 포함 상속)으로 간주되니 주의하세요.\n\n필요 서류: 심판청구서, 사망진단서, 가족관계증명서, 기본증명서, 주민등록등본\n\n상속포기 vs 한정승인 비교와 절차 안내: https://sahu.kr/guides/inheritance-renounce
B	6	상속포기 기한	상속 순위와 상속포기 절차 알아보기		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60215&docId=492312091&qb=7IOB7IaN7Y+s6riwIOq4sOqwhA==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음, 행동 질문	상속포기는 상속개시 있음을 안 날부터 3개월 이내에 가정법원에 신청해야 합니다.\n\n기한이 지나면 단순승인(모든 빚 포함 상속)으로 간주되니 주의하세요.\n\n필요 서류: 심판청구서, 사망진단서, 가족관계증명서, 기본증명서, 주민등록등본\n\n상속포기 vs 한정승인 비교와 절차 안내: https://sahu.kr/guides/inheritance-renounce
B	6	상속포기 기한	상속포기 누구까지 해야하나?		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60220&docId=492653920&qb=7IOB7IaN7Y+s6riwIOq4sOqwhA==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음, 행동 질문	상속포기는 상속개시 있음을 안 날부터 3개월 이내에 가정법원에 신청해야 합니다.\n\n기한이 지나면 단순승인(모든 빚 포함 상속)으로 간주되니 주의하세요.\n\n필요 서류: 심판청구서, 사망진단서, 가족관계증명서, 기본증명서, 주민등록등본\n\n상속포기 vs 한정승인 비교와 절차 안내: https://sahu.kr/guides/inheritance-renounce
B	6	상속포기 기한	상속포기/한정승인 어떤 것으로 해야될까요?		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60204&docId=492295531&qb=7IOB7IaN7Y+s6riwIOq4sOqwhA==&enc=utf8	Y	1	관련 키워드 포함, 답변 적음, 행동 질문	상속포기는 상속개시 있음을 안 날부터 3개월 이내에 가정법원에 신청해야 합니다.\n\n기한이 지나면 단순승인(모든 빚 포함 상속)으로 간주되니 주의하세요.\n\n필요 서류: 심판청구서, 사망진단서, 가족관계증명서, 기본증명서, 주민등록등본\n\n상속포기 vs 한정승인 비교와 절차 안내: https://sahu.kr/guides/inheritance-renounce
B	6	안심상속 원스톱	상속포기한 사람은 안심상속 원스톱 서비스		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60220&docId=482685467&qb=7JWI7Ius7IOB7IaNIOybkOyKpO2GsQ==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음, 행동 질문	안심상속 원스톱서비스는 주민센터 또는 정부24에서 신청 가능합니다.\n\n고인의 금융(예금/대출/보험), 부동산, 자동차, 세금, 연금을 한번에 조회할 수 있습니다.\n\n기한: 사망일이 속한 달의 말일부터 1년 이내\n결과: 항목별로 7일~20일 소요\n\n사망신고하면서 바로 신청하는 게 가장 좋습니다.\n\n상세 안내: https://sahu.kr/guides/safe-inheritance
B	6	사망 후 은행 계좌	형 사망 후 상속 절차가 궁금합니다		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60220&docId=492500975&qb=7IKs66edIO2bhCDsnYDtlokg6rOE7KKM&enc=utf8	Y	0	관련 키워드 포함, 답변 적음, 행동 질문	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
B	6	사망 후 은행 계좌	연락없던 엄마의 사망후 빚이 있는지 알아보는 방법 있나요?		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=6100101&docId=492620634&qb=7IKs66edIO2bhCDsnYDtlokg6rOE7KKM&enc=utf8	Y	0	관련 키워드 포함, 답변 적음, 행동 질문	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
B	6	사망 후 통신 해지	개인사업자 부친 사망 후 임대료와 한정승인 절차		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60215&docId=492615294&qb=7IKs66edIO2bhCDthrXsi6Ag7ZW07KeA&enc=utf8	Y	0	관련 키워드 포함, 답변 적음, 행동 질문	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
B	6	사망진단서 발급	사체 인수 안하면 상속문제 어떻게 되나요?		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60220&docId=491954283&qb=7IKs66ed7KeE64uo7IScIOuwnOq4iQ==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음, 행동 질문	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
C	4	사망 후 해야할 일	아버지 사망후 아파트 상속등에 관해서		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60220&docId=492600936&qb=7IKs66edIO2bhCDtlbTslbztlaAg7J28&enc=utf8	Y	0	관련 키워드 포함, 답변 적음	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
C	4	사망 후 해야할 일	어머니 사망 후 남매의 상속 포기		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60220&docId=492276649&qb=7IKs66edIO2bhCDtlbTslbztlaAg7J28&enc=utf8	Y	0	관련 키워드 포함, 답변 적음	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
C	4	사망 후 해야할 일	저희 언니가 사망후		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60204&docId=492582667&qb=7IKs66edIO2bhCDtlbTslbztlaAg7J28&enc=utf8	Y	0	관련 키워드 포함, 답변 적음	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
C	4	사망 후 해야할 일	아버지 사망 후 상속세 신고에 대해 질문있어요!!		https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40303&docId=492317619&qb=7IKs66edIO2bhCDtlbTslbztlaAg7J28&enc=utf8	Y	0	관련 키워드 포함, 답변 적음	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
C	4	사망 후 해야할 일	상속세 증여세 혼인신고 무 동거기간 10년 배우자의 사망		https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40303&docId=491761391&qb=7IKs66edIO2bhCDtlbTslbztlaAg7J28&enc=utf8	Y	0	관련 키워드 포함, 답변 적음	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
C	4	사망 후 해야할 일	모친 사망 후 망자 카드로 병원비 결제 한정승인 관련		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60203&docId=482760016&qb=7IKs66edIO2bhCDtlbTslbztlaAg7J28&enc=utf8	Y	0	관련 키워드 포함, 답변 적음	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
C	4	사망신고 방법	법인대표사망시 20프로주주가 법인세 신고		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60223&docId=492499313&qb=7IKs66ed7Iug6rOgIOuwqeuylQ==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
C	4	사망신고 방법	분양 계약자가 사망후 사망신고전에 대리인 위임장 작성후 명의변경 하면?		https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40203&docId=492615200&qb=7IKs66ed7Iug6rOgIOuwqeuylQ==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
C	4	사망신고 방법	세대주 사망신고후 ..		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=6010102&docId=492370168&qb=7IKs66ed7Iug6rOgIOuwqeuylQ==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
C	4	사망신고 방법	도와주세요 사망신고후 상속포기 문의드려요		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60220&docId=486682026&qb=7IKs66ed7Iug6rOgIOuwqeuylQ==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
C	4	사망신고 방법	부모님 사망 재산상속 포기		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60204&docId=492383329&qb=7IKs66ed7Iug6rOgIOuwqeuylQ==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
C	4	사망신고 방법	상속포기신청 사망신고서		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60204&docId=482274608&qb=7IKs66ed7Iug6rOgIOuwqeuylQ==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음	안녕하세요. 사망 후 행정 절차가 복잡하고 막막하실 텐데, 단계별로 정리된 가이드가 있어 공유드립니다.\n\n사망신고 → 안심상속 조회 → 은행/보험 정리 → 상속 결정 → 세금 신고 순서로 진행하시면 됩니다.\n\n각 절차별 기한, 필요 서류, 방문처가 정리된 체크리스트입니다:\nhttps://sahu.kr\n\n기한을 놓치면 과태료나 가산세가 발생할 수 있으니 꼭 확인해보세요.
C	4	상속포기 방법	배다른 동생 상속포기 요구		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60204&docId=492502121&qb=7IOB7IaN7Y+s6riwIOuwqeuylQ==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음	상속포기는 상속개시 있음을 안 날부터 3개월 이내에 가정법원에 신청해야 합니다.\n\n기한이 지나면 단순승인(모든 빚 포함 상속)으로 간주되니 주의하세요.\n\n필요 서류: 심판청구서, 사망진단서, 가족관계증명서, 기본증명서, 주민등록등본\n\n상속포기 vs 한정승인 비교와 절차 안내: https://sahu.kr/guides/inheritance-renounce
C	4	상속포기 기한	상속포기 기간 지났을때		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60220&docId=468926882&qb=7IOB7IaN7Y+s6riwIOq4sOqwhA==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음	상속포기는 상속개시 있음을 안 날부터 3개월 이내에 가정법원에 신청해야 합니다.\n\n기한이 지나면 단순승인(모든 빚 포함 상속)으로 간주되니 주의하세요.\n\n필요 서류: 심판청구서, 사망진단서, 가족관계증명서, 기본증명서, 주민등록등본\n\n상속포기 vs 한정승인 비교와 절차 안내: https://sahu.kr/guides/inheritance-renounce
C	4	상속포기 기한	상속포기 기각		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60204&docId=492435672&qb=7IOB7IaN7Y+s6riwIOq4sOqwhA==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음	상속포기는 상속개시 있음을 안 날부터 3개월 이내에 가정법원에 신청해야 합니다.\n\n기한이 지나면 단순승인(모든 빚 포함 상속)으로 간주되니 주의하세요.\n\n필요 서류: 심판청구서, 사망진단서, 가족관계증명서, 기본증명서, 주민등록등본\n\n상속포기 vs 한정승인 비교와 절차 안내: https://sahu.kr/guides/inheritance-renounce
C	4	상속포기 기한	상속포기하면 형제자매까지만 가나요?		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60204&docId=492552960&qb=7IOB7IaN7Y+s6riwIOq4sOqwhA==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음	상속포기는 상속개시 있음을 안 날부터 3개월 이내에 가정법원에 신청해야 합니다.\n\n기한이 지나면 단순승인(모든 빚 포함 상속)으로 간주되니 주의하세요.\n\n필요 서류: 심판청구서, 사망진단서, 가족관계증명서, 기본증명서, 주민등록등본\n\n상속포기 vs 한정승인 비교와 절차 안내: https://sahu.kr/guides/inheritance-renounce
C	4	상속포기 기한	상속 포기 중 임차권등기신청을 받을 경우.		https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60223&docId=492557383&qb=7IOB7IaN7Y+s6riwIOq4sOqwhA==&enc=utf8	Y	0	관련 키워드 포함, 답변 적음	상속포기는 상속개시 있음을 안 날부터 3개월 이내에 가정법원에 신청해야 합니다.\n\n기한이 지나면 단순승인(모든 빚 포함 상속)으로 간주되니 주의하세요.\n\n필요 서류: 심판청구서, 사망진단서, 가족관계증명서, 기본증명서, 주민등록등본\n\n상속포기 vs 한정승인 비교와 절차 안내: https://sahu.kr/guides/inheritance-renounce
